v210_eq,v210_var,v210_var_description,v210_pg,v210_sec,v210_sec_title,v200_eq
1,,,10,3,Components,
2,,,11,3,Components,
3,q,,14,3.1.1,"Standard Baseline Cryptographic Parameters",
4,H_P,,16,3.1.2,"Parameter Base Hash",
5,H_B,,19,3.1.4,"Election Base Hash",
6,s_i,,21,3.2.1,"Overview of key generation",
6,"a_{i,j}",,21,3.2.1,"Overview of key generation",
6,K,,21,3.2.1,"Overview of key generation",
6,"K_{i,j}",,21,3.2.1,"Overview of key generation",
6,P_i(x),,22,3.2.1,"Overview of key generation",
6,P(x),,22,3.2.1,"Overview of key generation",
7,"s_i = a_{i,0}","secret key for guardian G_i",22,3.2.2,"Details of key generation",
7,"a_{i,0<j}",,22,3.2.2,"Details of key generation",
7,"K_i = K_{i,0}","public key for guardian G_i",22,3.2.2,"Details of key generation",
7,P_i(x),,22,3.2.2,"Details of key generation",
8,"K_{i,j}",,22,3.2.2,"Details of key generation",
8,"ahat_{i,0}","secret key for guardian G_i",23,3.2.2,"Details of key generation",
8,"ahat_{i,0<j}",,23,3.2.2,"Details of key generation",
8,"K_i = K_{i,0}","public key for guardian G_i",23,3.2.2,"Details of key generation",
8,Phat_i(x),,23,3.2.2,"Details of key generation",
8,"Khat_{i,j}",,23,3.2.2,"Details of key generation",
9,zeta_i,,23,3.2.2,"Details of key generation",
9,"κ_i",,23,3.2.2,"Details of key generation",
10,"h_{i,j}",,23,3.2.2,"Details of key generation",11
11,c_i,,23,3.2.2,"Details of key generation",12
12,"\hat{h}_{i,j}",,24,3.2.2,"Details of key generation",
13,\hat{c}_{i},,24,3.2.2,"Details of key generation",
14,g^{P_i(\alpha)},,24,3.2.2,"Details of key generation",
15,"(α_{i,l},β_{i,l})",share_encrypt_ct,25,3.2.2,"Details of key generation",14
16,"k_{i,l}",hash_shareenc,25,3.2.2,"Details of key generation",15
17,"k_{i,l,1}",share_enc_ENCkey,25,3.2.2,"Details of key generation",16
18,"k_{i,l,2}",share_enc_ENCkey2,25,3.2.2,"Details of key generation",17
19,"E_l(P_i(l),Phat_i(l))","E_\ell(P_i(\ell), \hat{P}_i(\ell))",25,3.2.2,"Details of key generation",18
20,"C_{i,l,0}","C_{i,\ell,0}",25,3.2.2,"Details of key generation",19
21,"C_{i,l,1}","C_{i,\ell,1}",25,3.2.2,"Details of key generation",19
22,"cbar_{i,l}","\bar c_{i,\ell}",25,3.2.2,"Details of key generation",19
22,"vbar_{i,l}","\bar v_{i,\ell}",25,3.2.2,"Details of key generation",19
23,"\bytes(P_i(\ell),32)\parallel \bytes(\hat{P}_i(\ell),32)",,26,3.2.2,"Details of key generation",
24,z_i,"guardian $G_i$'s share of the of the vote encryption secret key",26,3.2.2,"Details of key generation",
24,\hat{z}_i,"guardian $G_i$'s share of the ballot data encryption secret key",26,3.2.2,"Details of key generation",
25,K,"joint vote encryption public key",26,3.2.2,"Details of key generation",
26,\hat{K},"joint ballot data encryption public key",26,3.2.2,"Details of key generation",
27,\HH_{G},"hash of all the key data",27,3.2.2,"Details of key generation",
28,g^{P_i(\ell)},"verification check for the ${P}_i(\ell)$ and the ${K}_{i,j}$",27,3.2.2,"Details of key generation",
29,"g^{\hat P_i(\ell)}","verification check for the $\hat{P}_i(\ell)$ and the $\hat{K}_{i,j}$",27,3.2.2,"Details of key generation",
30,H_E,"extended base hash",28,3.3.1,"Selection Encryption",23
31,"(\alpha, \beta)","encryption of ballot contest option selection",28,3.3.1,"Selection Encryption",
32,id_B,"selection encryption identifier",29,3.3.2,"Selection Encryption Identifiers and Identifier Hash",
32,\HH_I,"selection encryption identifier hash",29,3.3.2,"Selection Encryption Identifiers and Identifier Hash",
33,"ξ_B","ballot nonce",29,3.3.3,"Generation of the Ballot Nonce and Encryption Nonces",25
33,"ξ_{i,j}","contest i option j nonce",29,3.3.3,"Generation of the Ballot Nonce and Encryption Nonces",25
34,\hat{\xi}_B,"ballot nonce encryption nonce",30,3.3.4,"Encryption of Ballot Nonces",
34,"(\alpha_B, \beta_B)","encryption of ballot nonce",30,3.3.4,"Encryption of Ballot Nonces",
35,h,"master-key-enc-of-ballot-nonce, 256-bit secret key",30,3.3.4,"Encryption of Ballot Nonces",
36,k_1,"encryption key $k_1$, derived-keys-enc-of-ballot-nonce",30,3.3.4,"Encryption of Ballot Nonces",
37,C_{\xi_B},"encryption of ballot nonce",30,3.3.4,"Encryption of Ballot Nonces",
37,"C_{\xi_B,0}","encryption of ballot nonce 1 of 3",30,3.3.4,"Encryption of Ballot Nonces",
37,"C_{\xi_B,1}","encryption of ballot nonce 2 of 3",30,3.3.4,"Encryption of Ballot Nonces",
38,u_B,"eq. 38 uniform random integer",30,3.3.4,"Encryption of Ballot Nonces",
38,a_B,"eq. 38 committment",30,3.3.4,"Encryption of Ballot Nonces",
38,c_B,"eq. 38 challenge",30,3.3.4,"Encryption of Ballot Nonces",
38,v_B,"eq. 38 response value",30,3.3.4,"Encryption of Ballot Nonces",
38,"C_{\xi_B,2}","Schnorr proof of knowledge for $\hat{\xi}_B$",30,3.3.4,"Encryption of Ballot Nonces",
39,u_0,"Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
39,u_1,"Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
39,c_1,"Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
39,"(a_0, b_0)","Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
40,"(a_1, b_1)","Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
41,c,"Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
42,c_0,"Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
43,v_0,"Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
44,v_1,"Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
45,c,"Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
46,"(g^{v_0} \alpha^{c_0}, K^{v_0} \beta^{c_0})","Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
47,"(g^{v_1} \alpha^{c_1}, K^{v_1-c_1} \beta^{c_1})","Unselected option NIZK proof that contest option selection is zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
48,"(a_0, b_0)","Selected option NIZK proof of zero or one",34,3.3.7,"Details for Proofs of Ballot Correctness",
49,"(a_1, b_1)","Selected option NIZK proof of zero or one",35,3.3.7,"Details for Proofs of Ballot Correctness",
50,c,"Selected option NIZK proof of zero or one",35,3.3.7,"Details for Proofs of Ballot Correctness",
51,c_0,"Selected option NIZK proof of zero or one",35,3.3.7,"Details for Proofs of Ballot Correctness",
52,v_0,"Selected option NIZK proof of zero or one",35,3.3.7,"Details for Proofs of Ballot Correctness",
53,v_1,"Selected option NIZK proof of zero or one",35,3.3.7,"Details for Proofs of Ballot Correctness",
54,c,"Selected option NIZK proof of zero or one",35,3.3.7,"Details for Proofs of Ballot Correctness",
55,"(g^{v_0} \alpha^{c_0}, K^{v_0} \beta^{c_0})","Selected option NIZK proof of zero or one",35,3.3.7,"Details for Proofs of Ballot Correctness",
56,"(g^{v_1} \alpha^{c_1}, K^{v_1-c_1} \beta^{c_1})","Selected option NIZK proof of zero or one",35,3.3.7,"Details for Proofs of Ballot Correctness",
57,"u_j, 0<=j<=R","General case NIZK range proof",35,3.3.7,"Details for Proofs of Ballot Correctness",
57,"(a_\ell,b_\ell)","General case NIZK range proof",35,3.3.7,"Details for Proofs of Ballot Correctness",
58,"c_j, 0<=j<=R","General case NIZK range proof",35,3.3.7,"Details for Proofs of Ballot Correctness",
58,t_j,"General case NIZK range proof",35,3.3.7,"Details for Proofs of Ballot Correctness",
58,"(a_j,b_j)","General case NIZK range proof",35,3.3.7,"Details for Proofs of Ballot Correctness",
59,c,"General case NIZK range proof",35,3.3.7,"Details for Proofs of Ballot Correctness",
60,c_\ell,"General case NIZK range proof",35,3.3.7,"Details for Proofs of Ballot Correctness",
61,v_j,"General case NIZK range proof",36,3.3.7,"Details for Proofs of Ballot Correctness",
