line_n,section,xtext
19,S0,"Fix references to EGDS in the source code to always include section and page number"
20,S0,"Fix references to EGDS in the source docs to always include section and page number"
22,S0,"Set panic behavior to abort. See https://gitlab.torproject.org/legacy/trac/-/issues/27199"
23,S0,"Remove eg/src/example*.rs files, migrate to resource_producer"
24,S0,"Migrate away from 'anyhow' in library code"
27,S0,"Q|UG left pad as necessary to ensure length is correct"
28,S0,"MAYB|serialize format wrapped in version"
30,S0,"crate feature for guardian secret operations."
32,S0,"ensure SecretCoefficient is serialized in a fixed-length format"
34,S0,"rewrite build-docs script in sh"
36,S0,"Build on Linux32"
37,S0,"Test on Linux32"
38,S0,"Build on Linux64"
39,S0,"Test on Linux64"
40,S0,"Build on Win64"
41,S0,"Test on Win64"
42,S0,"Test library components for Wasm32"
44,S0,"docs/general: style sheet for markdown, ideally match API docs"
46,S0,"If an overvote occurs, the overvote must be captured, encrypted, and never decrypted."
48,S0,"docs/specs/serialization: data formats section"
49,S0,"docs/specs/serialization: standards and references section"
50,S0,"docs/specs/serialization: election manifest section"
51,S0,"docs/specs/serialization: election record section"
52,S0,"docs/specs/serialization: vendor data section"
54,S0,"docs/api: reference NIST CDF where types clearly correspond. E.g., BallotStyle https://github.com/usnistgov/ElectionResultsReporting/blob/nist-pages/index.md#17_0_2_4_78e0236_1389366224561_797289_2360"
56,S0,"docs/implementation guide/Requirements for election systems vendors: complete"
57,S0,"docs/implementation guide/Requirements for verifier app authors: complete"
58,S0,"docs/implementation guide/roles: consider splitting into separate pages: complete"
59,S0,"docs/implementation guide/roles/Election Administrator: complete"
60,S0,"docs/implementation guide/roles/Election Guardians: complete"
61,S0,"docs/implementation guide/roles/Voters: complete"
62,S0,"docs/implementation guide/roles/Political parties and voter-interest organizations: complete"
63,S0,"docs/implementation guide/roles/Journalists and other media: complete"
64,S0,"docs/implementation guide/Hardware requirements/Gurardian secret key storage: complete"
65,S0,"docs/implementation guide/Hardware requirements/Gurardian secret key operations: complete"
66,S0,"docs/implementation guide/step-by-step/Advance preparation: complete"
67,S0,"docs/implementation guide/step-by-step/Key ceremony: complete"
68,S0,"docs/implementation guide/step-by-step/Tally ceremony: complete"
69,S0,"docs/implementation guide/step-by-step/Publishing: complete"
70,S0,"docs/implementation guide/step-by-step/Verification: complete"
71,S0,"docs/implementation guide/step-by-step/Reporting: complete"
73,S0,"docs/api: use correct logo"
74,S0,"docs/api: complete"
76,S0,"docs: complete, #![warn(missing_docs)]"
78,S0,"docs: upload docs to github pages (see compliance notes)"
80,S0,"security review: ensure that no file leaks info through filesize"
82,S0,"distinguish between PartySelection, BallotMeasureSelection, CandidateSelection"
83,S0,"BallotDefinition doc for write-in option"
84,S0,"would be nice to support a PartySelection type vote, rather than rely on the vendor to give us the correct selections explicitly"
86,S0,"a trait for types that have pub fn validate(&Self, &ElectionParameters)"
88,S0,"docs: more investigation into using rust modules to build documentation along with api, observe how cargo_crev does it with the include_str! macro: https://github.com/crev-dev/cargo-crev/blob/master/cargo-crev/src/doc/mod.rs"
89,S0,"docs: more investigation into using mdbook for all project documentation https://github.com/rust-lang/rust/issues/66249"
90,S0,"docs: cargo-external-doc is nice but doesn't support virtual manifests https://github.com/Geal/cargo-external-doc"
92,S0,"VaryingParameters (n, k) This isn't really an 'index' (ordinal), it's a cardinal number. Maybe we need a general purpose ranged number type."
94,S0,"exe: common parameter: election filesystem directory to look for files (%ELECTIONGUARD_ARTIFACTS_DIR%)"
95,S0,"exe: common parameter: manifest file"
96,S0,"exe: common parameter: others"
98,S0,"persist/file: create artifact directories if they don't exist. q: what about permissions on guardian secret directories?"
100,S0,"perisist: encryption or password protection for guaridan secret key files"
101,S0,"util: read guardian secret key, print info, suppressing secrets"
102,S0,"util: read guardian public key, print info"
104,S0,"persist: define standard election directory layout - look at other implementers and users"
105,S0,"design: key file represents its kind: guardian, ..., ?"
107,S0,"Consider structures defined in JSON schema https://github.com/usnistgov/ElectionResultsReporting/blob/version2/NIST_V2_election_results_reporting.json"
109,S0,"if electionguard.exe fails to read or write a file, check the path to see if it has a leading ~. If so, print a good error message."
111,S0,"test on 32-bit target such as x86 or wasm32"
112,S0,"test on big-endian target such as powerpc64-unknown-linux-gnu, s390x-unknown-linux-gnu, riscv64gc-unknown-linux-gnu, or loongarch64-unknown-linux-gnu"
114,S0,"electionguard-test script: incorporate ballots"
115,S0,"electionguard-test script: incorporate tally"
187,S0,"What is a Preencrypted Ballot called after Voter Selections have been applied?"
1404,S3.a.g,"TODO: Do we need separate Administrative (Public|Secret) Key pairs for encryption and signing operations?"
1405,S3.a.g,"TODO: How is it configured which specific other data is to be encrypted with which of the Joint Ballot Data Encryption Public Key and/or Administrative Public Key?"
2456,S3.1.3n,"If the effective Contest Selection Limit is > 1, could someone evade the Option Selection Limit by both selecting and writing-in the same candidate? Similarly if multiple write-in fields are allowed, couldn't they write-in the same choice multiple times?"
2642,S3.2.c,"(Ref: S3.a.a.b) ""EGRI enables the same set of Guardians to re-use their keys from previous elections (TODO: Don't n, k, p, q, g, etc have to remain the same?)"""
2915,S3.2.2.a,"eq8 pg22 refers to ""the secret key for guardian $G_i$"" ""the public key for guardian $G_i$"" Are these keys ever really used as such in v2.1.0 ?"
3488,S3.2.2.o,"EGRI supports a Guardian `l` in complaining to the Election Administrator and all other Guardians. TODO: In practice this likely implies providing a set of data TBD."
5215,S3.5.b.verif9,"TODO: Verification 9"
5340,S3.6.1,"TODO: Presumably this (""enables a Guardian to review the set of Ciphertexts marked for decryption"") requirement applies to any use of the Guardian Ballot Data Encryption Secret Key as well? -> xreq S3.6.1 EGRS enables a Guardian to review the set of Ciphertexts marked for decryption prior to use of their Guardian Ballot Data Encryption Secret Key."
5341,S3.6.1,"Does EGRI need to determine whether write-in fields may actually be relevant to an outcome, or just always decrypt all write-in fields with every Tally?"
5342,S3.6.1,"Presumably, many Ballots will not have any write-in fields actually written-in. Does each Ballot record whether it has a write-in field written-in in a way that avoids the need to decrypt the ballot nonce during the Tally if write-in values are needed?"
5780,S3.6.6.a,"""[write-in] data may need to be decrypted if the tallies record a significant number"
6362,S3.7,"The Election Record records for every Ballot Decryption Operation: for every participating Guardian: for every Ballot in the `Challenged` state: the partial decryption of the Ballot Nonce"
6363,S3.7,"The Election Record records for every Ballot Decryption Operation: for every participating Guardian: for every Ballot in the `Challenged` state: for every Contest, for every Option Field, the partial decryption"
6405,S3.7The,"Election Record records for every Tally: for every Contest: for every (Option or Additional) homomorphically-tallied Data Field: the partial decryption from each available Guardian?"
6587,S4.1,"pg. 58 ""in a contest where a voter is allowed to make multiple selections, multiple pre-encryption vectors can be combined to form a single contest encryption vector with multiple encryptions of one that precisely matches the standard \EG format."""
6588,S4.1,"pg. 58 QUESTION: How are they ""combined""? E.g., are these multiple encryptions combined such that there is still a single vector `Psi_{i,m}` for Option `i`, or are there additional Option vectors? Note: [S4.1.4 pg. 63] says ""For contests with selection limit greater than 1, the selection vectors published in the election record match the product of the pre-encryptions associated with the short codes listed as selected"", which seems to imply they are multiplied."
6589,S4.1,"pg. 58 QUESTION: What about when the effective Option Selection Limit is greater than `1`? Do all possible assignments within the effective (Option and Contest) Selection Limits require distinct Selection Vectors and Selection Hashes? E.g. say a Contest has two options and the Contest and Option Selection Limits are all `5`. How is the selection vector constructed which allows the voter to apply a value of `3` to Option 1 and `2` to Option 2?"
6590,S4.1,"pg. 58 QUESTION:  How to these ""multiple pre-encryption vectors"" map to ""the j-th selection vector"" and ""the k-th encryption"" referred to in [S4.2.1 eq. 121 pg. 61] to derive xi_{i,j,k}?"
6639,S4.1.1,"pg. 58 QUESTION: S4.1 pg. 57 designates the ""null form"" explicitly as `Psi_{0,m}`, but (eq. 114 pg. 58) refers to them as `psi_{m+l}` where `1 <= l <= L`. How to these multiple pre-encryption vectors map to ""the j-th selection vector"" and ""the k-th encryption"" referred to in [S4.2.1 eq. 121 pg. 61] to derive xi_{i,j,k}?"
6755,S4.1.4,"pg. 59 EGRS says ""A pre-encrypted ballot’s hash will typically be printed directly on the ballot. Ideally, two copies of the ballot hash will be included on each ballot with one remaining permanently with the ballot and the other in an immediately adjacent location on a removable tab. These removable ballot codes are intended to be retained by voters and can be used as an identifier to allow voters to look up their (encrypted) ballots in the election record and confirm that they include the proper short codes as described below."""
6996,S4.4,"pg. 62 refers to ""every pre-encrypted ballot listed in the election record as uncast"". QUESTION: Does this imply that every `PreencryptedBallot` generated is recorded in the Election Record?"
6997,S4.4,"pg. 63 states that ""For each uncast ballot, the ballot nonce for that ballot is published in the encryption record."" and [S4.5 pg. 64] refers to ""every pre-encrypted ballot listed in the election record as uncast"". QUESTION: Does this imply that there is a point during the tally process at which generated-but-not-cast `PreencryptedBallots` are no longer accepted? If there are multiple Tallys taken, then it seems really important that this only happen at the final Tally. Someone who submitted a PreencryptedBallot that was somehow delayed in the mail probably does not want their Voter Selections made public."
9095,S7,"TODO: Consider any special features which may be needed for RLAs"
