section,xtext
S0,"Per Michael 2025-02-25, ""Signed ElGamal"" encryption refers to the third ciphertext component which is a Schnorr proof of knowledge of the encryption randomness."
S0,"Abbreviation: 'EG' ElectionGuard, possibly implies v2.1.0 Design Specification and/or Reference Implementation"
S0,"Abbreviation: 'EGDS' ElectionGuard v2.1.0 Design Specification"
S0,"Abbreviation: 'EGRI' ElectionGuard v2.1.0 Reference Implementation"
S0,"Abbreviation: 'RI' - Reference Implementation"
S0,"In EG, Ballots are always encrypted, so 'Ballot' implies 'encrypted'"
S0,"A 'Preencrypted Ballot' is a complete set of ciphertexts for all options which contains no information about Voter Selections."
S2.a,"Josh 2025-02-25, 2025-03-18: Out of scope for EGRI: % xreq2j S2.a EGRI enables the Election Administrator to facilitate defined EG protocols"
S3.7,"Josh 2025-02-25, 2025-03-18: Out of scope for EGRI: % xreq2j S2.a EGRI enables the Election Administrator to facilitate defined EG procedures"
S2.f,"This section generates no unique or specific requirements"
S3.a.b,"This section generates no unique or specific requirements"
S3.a.g,"'Sign(ed|ing) Hashed ElGamal' means 'Signed ElGamal'"
S3.a.g,"Michael 2025-02-25, ""Signed ElGamal"" refers to the third ciphertext component which is a Schnorr proof of knowledge of the encryption randomness. See: { Schnorr, C.P., Jakobsson, M. (2000). Security of Signed ElGamal Encryption. In: Okamoto, T. (eds) Advances in Cryptology — ASIACRYPT 2000. ASIACRYPT 2000. Lecture Notes in Computer Science, vol 1976. Springer, Berlin, Heidelberg. https://doi.org/10.1007/3-540-44448-3_7 } https://markus-jakobsson.com/papers/jakobsson-asiacrypt00.pdf"
S3.a.g,"Josh 2025-03-18: All Administrator Key operations are out of scope for EGRI, not even signing the Election Record"
S3.a.g,"Josh 2025-03-18: All Administrator Key operations are out of scope for EGRI: xreq S3.a.g There is an 'Administrative Public Key'."
S3.a.g,"Josh 2025-03-18: The Administrative Public Key is not the same as any key an Election Administrator might use to sign the Election Record"
S3.a.g,"Josh 2025-03-18: All Administrator Key operations are out of scope for EGRI: S3.a.g TODO: How is the Administrative Public Key generated?"
S3.a.g,"Josh 2025-03-18: All Administrator Key operations are out of scope for EGRI: % xtodo S3.a.g TODO: How is the Administrative Public Key distributed?"
S3.a.g,"Josh 2025-03-18: All Administrator Key operations are out of scope for EGRI: % xtodo S3.a.g TODO: How is the Administrative Public Key authenticated?"
S3.a.g,"Josh 2025-03-18: All Administrator Key operations are out of scope for EGRI: % xtodo S3.a.g TODO: Who controls the Administrative Secret Key?"
S3.1.3.b,"Ref: S3.1.3.a ""The Election Manifest for each contest, specifies a label unique across all contests in the election"""
S3.1.3.b,"Ref: S3.1.3.a ""The Election Manifest for each Selectable Option in each contest, specifies a label unique across all Selectable Options in that contest"""
S3.1.3.i,"This section generates no unique or specific requirements"
S3.1.3n,"Josh, Michael 2025-03-18: Out of scope for EGRI: Range proofs of the various combinations of fields (selectable options, undervoted, net undervote, overvoted, net overvote, write-in N, count written-in) may be combined under specific conditions"
S3.2.b.n3_2,"This section generates no unique or specific requirements"
S3.2.2.g,"This section generates no unique or specific requirements"
S3.2.2.h.n3_3,"This section generates no unique or specific requirements"
S3.2.2.j,"Josh 2025-03-18: The 'decrypted key share' is not believed to be necessary to retain."
S3.2.2.o,"Josh 2025-03-18: Out of scope for EGRI: % xreq2j S3.2.2.o The Election Administrator has software."
S3.3.1.j,"Note: Though unlikely with expected values, the addition of \sigma+\xi must not wrap."
