section,xtext,status_code,status_note,ordinal,xtext
S1.a,"EGRI can be used to enable end-to-end (E2E) verifiability.",na,,1,"Not directly applicable to implementation code"
S1.a,"EGRI can be used to enable privacy-enhanced risk-limiting audits (RLAs).",na,,1,"Not directly applicable to implementation code"
S1.a,"EGRI components can be used to empower individual voters to independently verify the accuracy of election results.",na,,1,"Not directly applicable to implementation code"
S1.b,"EGRI allows individual voters to verify that their votes have been accurately recorded.","",,,
S1.b,"EGRI allows voters to verify that all recorded votes have been accurately counted.","",,,
S1.b,"EGRI allows observers to verify that all recorded votes have been accurately counted.","",,,
S1.b,"EGRI provides an E2E-verifiable tally which can be used as the primary tally in an election.","",,,
S1.b,"EGRI provides an E2E-verifiable tally which can be used as a verifiable secondary tally alongside traditional methods.","",,,
S1.b,"EGRI is compatible with in-person voting using an electronic ballot-marking device.",na,,1,"Not directly applicable to implementation code"
S1.b,"EGRI is compatible with in-person voting using an optical scanner capable of reading hand-marked ballots.",na,,1,"Not directly applicable to implementation code"
S1.b,"EGRI is compatible with in-person voting using an optical scanner capable of reading machine-marked ballots.",na,,1,"Not directly applicable to implementation code"
S1.b,"EGRI is compatible with voting by mail.",na,,1,"Not directly applicable to implementation code"
S1.b,"EGRI is compatible with Internet voting.",na,,1,"Not directly applicable to implementation code"
S1.c,"EGRI enables public disclosure of encrypted ballots that can be matched directly to physical ballots selected for RLA auditing.","",,,
S1.c,"EGRI can prove (or fail to prove) that publicly disclosed EG ballots match reported tallies",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S1.c,"EGRI can prove (or fail to prove) that physical ballot records used in an RLA are those produced by the voters",na,,1,"Not directly applicable to implementation code"
S1.d,"EGRI provides a ""detailed implementation specification"" and/or qualifies as a ""well-documented ElectionGuard implementation""",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S1.d,"EGRI can be used by independent parties to write ElectionGuard verifiers to confirm the consistency of election artifacts with announced election results.",na,,1,"Not directly applicable to implementation code"
S1.d,"EGRI can be used by independent parties to write verifiers to confirm (or refute) the consistency of election artifacts with announced election results",na,,1,"Not directly applicable to implementation code"
S2.a,"A 'Guardian' role exists with certain duties.",na,,1,"Not directly applicable to implementation code"
S2.a,"EGRI enables a Guardian to protect confidentiality of votes.",na,,1,"Not directly applicable to implementation code"
S2.a,"EGRI enables members of a canvassing board to serve as Guardians.",na,,1,"Not directly applicable to implementation code"
S2.a,"EGRI enables Guardians to manage cryptographic keys.","",,,
S2.a,"Compromised human Guardians cannot compromise the integrity of the election tallies.","",,,
S2.a,"Compromised ""hardware Guardians"" cannot compromise the integrity of the election tallies.","",,,
S2.a,"EGRI enables Guardians to work together to form a public encryption key for homomorphically-tallied vote encryption.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S2.a,"EGRI enables Guardians to work together to form a public encryption key for non-homomorphically-tallied ballot data.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S2.a[x],"EGRI uses a Joint Vote Encryption Public Key and a Joint Ballot Data Encryption Public Key formed by the Guardians working together to encrypt individual ballots.","",,,
S2.a,"EGRI allows a quorum of guardians to produce all artifacts required to enable public verification of the tally.","",,,
S2.a,"No set of guardians fewer than a quorum are able to produce the artifacts required to enable public verification of the tally.",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S2.a,"% xnote S3.7 Josh 2025-02-25, 2025-03-18: Out of scope for EGRI: An 'Election Administrator' role exists",na,,1,"Not directly applicable to implementation code"
S2.a,"Note: EG defines protocols",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S2.a,"Note: EG defines procedures",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S2.b,"EGRI enables a Guardian to generate its own Vote Encryption (Public|Secret) Key pair prior to the start of voting or RLA.","",,,
S2.b,"EGRI enables a Guardian to generate its own Ballot Data Encryption (Public|Secret) Key pair prior to the start of voting or RLA.","",,,
S2.b,"EGRI enables a Guardian to generate its own Guardian Communication (Public|Secret) Key pair pair prior to the start of voting or RLA.","",,,
S2.b,"EGRI enables Guardians to employ their Guardian Communication Key pairs to communicate privately with other guardians to exchange information about secret keys.","",,,
S2.b,"EGRI enables Guardians to keep their (Vote Encryption|Ballot Data Encryption|Guardian Communication) Secret Keys and Key Shares secret.","",,,
S2.b,"EGRI enables Guardians to perform operations using their (Vote Encryption|Ballot Data Encryption|Guardian Communication) Secret Keys and Key Shares without leaking or exposing them, to the extent practical within the constraints of hardware/os platform.","",,,
S2.b,"EGRI enables potential integration of dedicated hardware tokens or devices with which Guardians could  to perform operations using their (Vote Encryption|Ballot Data Encryption|Guardian Communication) Secret Keys.","",,,
S2.b,"EGRI enables production of an 'Election Record' even if not all guardians are available at that time with","",,,
S2.b,"(=~ S2.a[x]): EGRI uses a Joint Vote Encryption Public Key and a Joint Ballot Data Encryption Public Key formed by the Guardians working together to encrypt individual ballots.","",,,
S2.b,"Guardians participate in a 'Key Generation Ceremony'.",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S2.b,"At the beginning of the Key Generation Ceremony, EGRI enables each guardian to publish its public keys and proofs of knowledge of the associated secret keys.",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S2.b,"At the beginning of the Key Generation Ceremony, EGRI enables each Guardian to receive the published keys and proofs of knowledge of the associated secret keys from the other Guardians.",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S2.b,"EGRI enables a Guardian to determine that they have received the public keys and proofs of knowledge of the associated secret keys from all other Guardians, or identify those which have not yet been received.",nyi,,4,"Not yet implemented"
S2.b,"EGRI enables a Guardian to encrypt to another guardian's Guardian Communication Public Key an InterGuardianShare for the Vote Encryption key.",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S2.b,"EGRI enables a Guardian to encrypt to another guardian's Guardian Communication Public Key an InterGuardianShare for the Ballot Data Encryption key.",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S2.b,"EGRI enables a Guardian to send the encrypted shares of each of its own (two, non-Communication) secret keys to the other Guardian corresponding to the Guardian Communication Public Key to which it was encrypted.","",,,
S2.b,"EGRI enables a Guardian to use its own Guardian Communication Secret Key to decrypt any shares of other guardians secret keys that it has received.","",,,
S2.b,"EGRI enables a Guardian to check for consistency any shares of other guardians secret keys it has received.",nyi,,4,"Not yet implemented"
S2.b,"EGRI enables a Guardian to query or observe which particular shares from all other Guardians it has recieved, decrypted, checked for consistency, and verified, and which are missing, inconsistent, or failed.",nyi,,4,"Not yet implemented"
S2.b,"EGRI enables a Guardian to determine that it has received, decrypted, checked for consistency, and verified shares from all other Guardians.","",,,
S2.b,"Josh 2025-03-18: ""The code should emit a success or failure indicator that a human can use to verify that the [received key shares] have the required properties."".",nyi,,4,"Not yet implemented"
S2.b,"EGRI can emit information sufficicient to enable an ""all greens on a dashboard""-type display for a Guardian to observe the (received, decrypted, checked for consistency, and verified) state of shares from the other Guardians.","",,,
S2.b,"EGRI can emit a formatted message to enable a Guardian to ""announce its completion"" once it it has received, checked for consistency, and verified shares from all other Guardians.","",,,
S2.b,"At the successful completion of the Key Generation Ceremony, EGRI enables the combination of Guardian Vote Encryption Public keys to form the Joint Vote Encryption Public Key.","",,,
S2.b,"At the successful completion of the Key Generation Ceremony, EGRI enables the combination of Guardian Ballot Data Encryption Public keys to form the Joint Ballot Data Encryption Public Key.","",,,
S2.b,"EGRI enables a Guardian to notice the irregularity of a failed share verification.","",,,
S2.b,"EGRI enables a Guardian to notice the irregularity of a failed proof verification.","",,,
S2.b,"EGRI enables a Guardian to notice the irregularity of an inconsistent set of keys.","",,,
S2.b,"EGRI enables a Guardian to ""complain and halt the protocol"" subsequent to noticing a failed share verification, a failed proof verification, or an inconsistent set of keys. (Is this published? A communications key message?)","",,,
